hostId,time,CPUUtilization
56,100.44011937013502,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
67,100.45537051481593,"[20, 20, 20, 11, 20, 20, 20, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
23,100.46101172424343,"[20, 20, 20, 20, 20, 20, 20, 20, 11, 11, 11, 11, 11, 11, 11, 11]"
51,100.4637519099011,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
27,100.46525680687407,"[20, 20, 20, 20, 20, 20, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
25,100.48116696870422,"[20, 20, 20, 20, 20, 11, 11, 11, 11, 11, 11, 11, 11, 11, 20, 11]"
40,100.48361722106566,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
53,100.49598180910252,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
64,110.00201797850377,"[20, 20, 20, 20, 12, 12, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
14,110.00231607602319,"[20, 5, 7, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
26,110.01121665016525,"[20, 20, 20, 12, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
66,110.02096909457275,"[12, 20, 20, 12, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
49,110.02488711498036,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
0,110.02493483478291,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
29,110.03387025312199,"[20, 20, 12, 20, 12, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
61,110.0394155010762,"[20, 11, 11, 20, 11, 20, 20, 11, 20, 20, 20, 20, 20, 20, 20, 20]"
62,110.04273803084426,"[11, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
4,110.04773987895405,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
9,110.05151065209174,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
41,110.05234284072074,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
18,110.06075041134028,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
58,110.06395128514342,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
72,110.07029573131035,"[20, 20, 11, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
8,110.08820434261528,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
28,110.09548333418043,"[20, 11, 20, 11, 11, 11, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
59,110.09678666973048,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
